question,angles_condition,cols_condition,lines_condition,perp_condition,points_condition,segm_condition,statement_condition,verifiable_answer
"Равнобедренная трапеция \(ABCD\) с основаниями \(BC\) и \(AD\) такова, что \(\angle ADC=2 \angle CAD=86^{\circ}\). Внутри трапеции выбрана точка \(T\) так, что \(CT=CD, AT=TD\). Найдите \(\angle TCD\).","ADC=86,ADC=2CAD,CAD=43",ABCD,-,BC parallel AD,"A,B,C,D,T","CT=CD,AT=TD,AB=CD",2 TCD,34
"Равнобедренная трапеция \(ABCD\) с основаниями \(BC\) и \(AD\) такова, что \(\angle ADC=2 \angle CAD=88^{\circ}\). Внутри трапеции выбрана точка \(T\) так, что \(CT=CD, AT=TD\). Найдите \(\angle TCD\).","ADC=88,CAD=44",ABCD,-,BC parallel AD,"A,B,C,D,T",-,2 TCD,32
"На стороне AC треугольника ABC отмечены точки M и N (M лежит на отрезке AN). Известно, что AB = AN, BC = MC. Описанные окружности треугольников ABM и CBN пересекаются в точках B и K. Сколько градусов составляет угол AKC, если ∠ABC = 64°?","ABC=64,AB=AN,BC=MC","ABMN, BCKN, ABKM, ACNK",ANC,---,"A,B,C,M,N,K","AB=AN,BC=MC",2 KAC,122
"Дан параллелограмм \(ABCD\), \(\angle D = 100^\circ\), \(BC = 24\). На стороне \(AD\) есть такая точка \(L\), что \(\angle ABL = 50^\circ\), \(LD = 8\). Найдите длину \(CD\).","ADC=100,ABL=50",-,ALD,"AB parallel CD, AD parallel BC","A,B,C,D,L","BC=24,LD=8,AB=CD,AD=24,AL=16",1 CD,16
"Дан параллелограмм \(ABCD\), \(\angle D = 140^\circ\), \(BC = 36\). На стороне \(AD\) есть такая точка \(L\), что \(\angle ABL = 70^\circ\), \(LD = 12\). Найдите длину \(CD\).","ADC=140,ABD=70",-,ALD,"AB parallel CD, BC parallel AD","A,B,C,D,L","BC=36,LD=12,AB=CD,AD=BC",1 CD,24
"Точка \(M\) — середина стороны \(BC\) треугольника \(ABC\), в котором \(AB = 19\), \(AC = 36\), \(BC = 21\). На стороне \(AB\) как на диаметре построена окружность. На этой окружности выбирается произвольная точка \(X\). Какое минимальное значение может принимать длина отрезка \(MX\)?",-,-,BMC,---,"A,B,C,M,X","AB=19,AC=36,BC=21,BM=MC",1 MX,8.5
"Диагонали четырёхугольника \(ABCD\) пересекаются в точке \(K\). Оказалось, что \(AB = BK = KD\). На отрезке \(KC\) отметили такую точку \(L\), что \(AK = LC\). Найдите \(\angle BLA\), если известно, что \(\angle ABD = 52^\circ\) и \(\angle CDB = 74^\circ\).","ABD=52,CDB=74",-,"AKC,BKD",---,"A,B,C,D,K,L","AB=BK,BK=KD,AB=KD,AK=LC",2 BLA,42
"Дан вписанный четырёхугольник $ABCD$. Известно, что $\angle ADB = 48^\circ$, $\angle BDC = 56^\circ$. Внутри треугольника $ABC$ отмечена точка $X$ так, что $\angle BCX = 24^\circ$, а луч $AX$ является биссектрисой угла $BAC$. Найдите угол $CBX$.","ADB=48,BDC=56,BCX=24,BAX=CAX",ABCD,-,---,"A,B,C,D,X",-,2 CBX,38
"Биссектрисы треугольника $A B C$ пересекаются в точке $I$, внешние биссектрисы его углов $B$ и $C$ пересекаются в точке $J$. Окружность $\omega_{b}$ с центром в точке $O_{b}$ проходит через точку $B$ и касается прямой $C I$ в точке $I$. Окружность $\omega_{c}$ с центром в точке $O_{c}$ проходит через точку $C$ и касается прямой $B I$ в точке $I$. Отрезки $O_{b} O_{c}$ и $I J$ пересекаются в точке $K$. Найдите отношение $I K / K J$.",-,-,-,---,"A,B,C,I,J,O_b,O_c,K",-,1 IK KJ,1/3
"Дан прямоугольник \( ABCD \). Прямая, проходящая через вершину \( A \) и точку \( K \) на стороне \( BC \), делит весь прямоугольник на две части, площадь одной из которых в 5 раз меньше площади другой. Найдите длину отрезка \( KC \), если \( AD = 60 \).",-,-,BKC,"AB parallel CD, BC parallel AD, AB perp BC","A,B,C,D,K","AD=60,AD=BC",1 KC,40
"Дан треугольник ABC. Пусть точка I — центр его вписанной окружности, а точки P и Q — середины сторон AB и AC соответственно. Оказалось, что ∠PIQ + ∠BIC = 180°. Найдите длину отрезка BC, если AB = 20 и AC = 14.",PIQ+BIC=180,-,"APB,AQC",PQ parallel BC,"A,B,C,I,P,Q","AB=20,AC=14,AP=PB,AQ=QC",1 BC,34/3
"Точка $M$ — середина основания $BC$ трапеции $ABCD$. На основании $AD$ выбрана точка $P$. Луч $PM$ пересекает луч $DC$ в точке $Q$. Перпендикуляр к основанию $AD$, проведённый через точку $P$, пересекает отрезок $BQ$ в точке $K$.  Известно, что $\angle KQD = 64^\circ$ и $\angle KDQ = 38^\circ$. Сколько градусов составляет угол $KBC$?","KQD=64,KDQ=38,APD=90",-,"BMC,APD,DQC,BQK","BC parallel AD, LP perp AD","A,B,C,D,M,P,Q,K",BM=MC,2 KBC,39
В равнобедренном треугольнике основание в 2 раза больше диаметра вписанной окружности. Найдите синус большего угла треугольника.,-,-,-,---,"A,B,C,O","BC=2d,AB=AC",2 BCA,0.96
В равнобедренном треугольнике основание в 2 раза больше диаметра вписанной окружности. Найдите косинус большего угла треугольника.,-,-,-,---,,"AB=AC,BC=2d",2 VAB,0.28
В равнобедренном треугольнике основание в 3 раза больше диаметра вписанной окружности. Найдите косинус большего угла треугольника.,-,-,-,---,,"AB=AC,BC=3·d",2 BCA,-0.28
В равнобедренном треугольнике основание в 3 раза больше диаметра вписанной окружности. Найдите синус большего угла треугольника.,ABC=ACB,-,-,---,"A,B,C","AB=AC,BC=6r",2 BAC,0.96
"В равнобедренном треугольнике основание в 1,5 раза больше диаметра вписанной окружности. Найдите косинус большего угла треугольника.",-,-,-,---,,"AB=AC,BC=1.5d",2 BCA,5/13
"В равнобедренном треугольнике основание в 1,5 раза больше диаметра вписанной окружности. Найдите синус большего угла треугольника.",-,-,-,---,,a=1.5d,2 XYZ,12/13
"На стороне \(AB\) параллелограмма \(ABCD\) выбрана точка \(F\), а на продолжении стороны \(BC\) за вершину \(B\) — точка \(H\) так, что \(AB/BF = BC/BH = 5\). Точка \(G\) выбирается так, что \(BFGH\) — параллелограмм. \(GD\) пересекает \(AC\) в точке \(X\). Найдите \(AX\), если \(AC = 100\).",-,-,"AFB,BHC,GHB,GDX,ACX","AB parallel CD, BC parallel AD, BF parallel GH, BG parallel FH","A,B,C,D,F,H,G,X","AB=5BF,BC=5BH,AC=100",1 AX,40
"На стороне AC треугольника ABC выбрана точка E. Биссектриса AL пересекает отрезок BE в точке X. Оказалось, что AX = XE и AL = BX. Чему равно отношение углов A и B треугольника?",BAX=XAC,-,"ACE,BEX,ALX",---,"A,B,C,E,L,X","AX=XE,AL=BX",2 BAC,2
"Вписанный четырёхугольник \(ABCD\) таков, что \(\angle ADB = 40^\circ\) и \(\angle CDB = 52^\circ\). Точка \(M\) внутри четырёхугольника такова, что \(\angle BAM = 26^\circ\) и \(\angle BCM = 20^\circ\). Сколько градусов составляет угол \(CBM\)?","ADB=40,CDB=52",ABCD,-,---,"A,B,C,D,M",-,2 CBM,44
"В прямоугольном треугольнике \( ABC \) с прямым углом \( A \) проведена высота \( AH \). На продолжении отрезка \( HA \) за точку \( A \) нашлась точка \( D \) такая, что \( \angle DBA = \angle CBA \). Найдите длину отрезка \( BD \), если известно, что \( BC = 7 \) и \( AD = 12 \).","BAC=90,AHB=90,DBA=CBA",ABHD,"BHC,HAD","AB perp AC, AH perp BC","A,B,C,D,H","BC=7,AD=12",1 BD,16
"В окружность ω вписана трапеция ABCD такая, что BC ∥ AD, AD = 14 и BC = 9. Пусть M — середина дуги AD окружности ω, не содержащей точек B и C. Прямая ℓ касается ω в точке C. Пусть H — основание перпендикуляра, опущенного из M на ℓ. Найдите длину отрезка CH.",-,ABCD,CHℓ,"BC parallel AD, MH perp l","A,B,C,D,M,H","AD=14,BC=9",1 CH,4.5
"Дан выпуклый четырёхугольник \(ABCD\), в котором \(AB = BD\). На отрезке \(BD\) выбрали точку \(K\) так, что \(AD \parallel KC\). Описанная окружность треугольника \(KDC\) пересекает отрезок \(BC\) в точке \(L\). Известно, что \(\angle ABD = 48^\circ\) и \(\angle CBD = 13^\circ\). Сколько градусов составляет угол \(BAL\)?",-,-,"BDK,BCL",AD parallel KC,"A,B,C,D,K,L",AB=BD,2 ABL,53
"Дана трапеция \(ABCD\) (\(AD \parallel BC\)). Оказалось, что \(\angle ABD = \angle BCD\). Найдите длину отрезка \(BD\), если \(BC = 36\) и \(AD = 81\).",ABD=BCD,-,"ABD,BCD",AD parallel BC,"A,B,C,D","BC=36,AD=81",1 BD,54
"Дана трапеция \(ABCD\) (\(AD \parallel BC\)). Оказалось, что \(\angle ABD = \angle BCD\). Найдите длину отрезка \(BD\), если \(BC = 49\) и \(AD = 64\).",ABD=BCD,-,-,AD parallel BC,"A,B,C,D","BC=49,AD=64",1 BD,56
"Дана трапеция \(ABCD\) (\(AD \parallel BC\)). Оказалось, что \(\angle ABD = \angle BCD\). Найдите длину отрезка \(BD\), если \(BC = 49\) и \(AD = 81\).",ABD=BCD,ABCD,-,AD parallel BC,"A,B,C,D","BC=49,AD=81",1 BD,63
"Дана трапеция \(ABCD\) (\(BC \parallel AD\)). Точка \(H\) на стороне \(AB\) такова, что \(\angle DHA = 90^\circ\). Известно, что \(CH = CD = 13\) и \(AD = 19\). Найдите длину отрезка \(BC\).",DHA=90,-,ABH,"BC parallel AD, DH perp AB","A,B,C,D,H","CH=13,CD=13,AD=19,CH=CD",1 BC,9.5
"Дана трапеция \(ABCD\) (\(BC \parallel AD\)). Точка \(H\) на стороне \(AB\) такова, что \(\angle DHA = 90^\circ\). Известно, что \(CH = CD = 11\) и \(AD = 17\). Найдите длину отрезка \(BC\).",DHA=90,-,ABH,"BC parallel AD, DH perp AB","A,B,C,D,H","CH=11,CD=11,AD=17",1 BC,8.5
"Дана трапеция \(ABCD\) (\(BC \parallel AD\)). Точка \(H\) на стороне \(AB\) такова, что \(\angle DHA = 90^\circ\). Известно, что \(CH = CD = 13\) и \(AD = 21\). Найдите длину отрезка \(BC\).",DHA=90,-,ABH,"BC parallel AD, DH perp AB","A,B,C,D,H","CH=13,CD=13,CH=CD,AD=21",1 BC,10.5
"На стороне AB прямоугольника ABCD выбрана точка P, а на стороне CD — точка Q. Известно, что ∠BCP = 17°, ∠AQP = 37°, ∠QAD = 16°. Сколько градусов составляет ∠CPQ?","BCP=17,AQP=37,QAD=16",-,"ABP,CDQ","AB parallel CD, BC parallel AD, AB perp BC, CD perp BC, CD perp AD, AB perp AD","A,B,C,D,P,Q",-,2 CPQ,38
"В прямоугольном треугольнике \( ABC \) с прямым углом \( C \) провели высоту \( CH \). На гипотенузе \( AB \) отметили точки \( X \) и \( Y \), такие что \( CX \) и \( CY \) — биссектрисы углов \( BCH \) и \( HCA \) соответственно. Найдите, чему равна длина стороны \( AB \), если известно, что периметр треугольника \( ABC \) равен 44, а длина отрезка \( XY \) равна 6.","ABC=90,CHA=90,BCX=HCX,HCY=YCA",-,CXY,"AC perp BC, CH perp AB","A,B,C,H,X,Y","AB+BC+AC=44,XY=6",1 AB,19
"В остроугольном треугольнике \(ABC\) провели высоты \(BD\) и \(CE\). Точки \(M\) и \(N\) являются серединами сторон \(AC\) и \(AB\) соответственно. Прямая \(EM\) повторно пересекает описанную окружность треугольника \(BCE\) в точке \(X\). Точка \(O\) является центром описанной окружности треугольника \(DMX\). Найдите \(ON\), если \(AB = 10\), \(DM = 3\), \(\angle A = 60^\circ\).",BAC=60,BCDM,"BDC,CEA,AMC,ANB","BD perp AC, CE perp AB","A,B,C,D,E,M,N,X,O","AB=10,DM=3,AM=MC,AN=NB",1 ON,8
"Дан треугольник \(ABC\) с тупым углом при вершине \(C\). На стороне \(AC\) нашлась точка \(P\) такая, что \(\angle CPB = 22^\circ\). На отрезке \(BP\) нашлась точка \(Q\) такая, что \(BQ = 2PC\) и \(QC \perp BC\). Сколько градусов составляет угол \(ACB\)?","CPB=22, QCB=90",-,"APC,BQC",QC perp BC,"A,B,C,P,Q",BQ=2PC,2 BCA,147
"В треугольнике \(ABC\) с углом \(100^\circ\) при вершине \(A\) медианы \(BK\) и \(CN\) пересекаются в точке \(M\). Прямая, проходящая через точку \(M\) и параллельная \(BC\), пересекает описанную окружность треугольника \(AKN\) в точках \(P\) и \(Q\). Найдите сумму углов \(BPC\) и \(BQC\).",BAC=100,-,"BCN,BCK,BCM,BKM,AKN,MPQ",PQ parallel BC,"A,B,C,K,N,M,P,Q","AK=KC,AN=NB",2 BQC,280
